issue_type,parcel_1,parcel_2,index_1,index_2,area
overlap,9548,139776,8899,130245,0.001367154386069336
overlap,9558,538551,8908,501840,0.0005034219033962161
overlap,9577,535960,8925,499536,0.002419266496744399
overlap,9596,70735,8944,65870,0.05833853797738442
overlap,9596,33097,8944,30865,0.279692035803929
overlap,9646,170973,8990,159333,0.004205337229250495
overlap,9659,9666,9003,547090,0.0005158349100052955
overlap,9659,14012,9003,13040,0.0003148829434049229
overlap,9659,79755,9003,74280,0.002036895089704507
overlap,9687,503338,9027,469398,0.0010013551962084286
overlap,9728,143575,9062,133791,0.022731472858785434
overlap,9728,317398,9062,295803,0.001363057273749746
overlap,9795,311410,9127,290195,0.0021526405812166693
overlap,9817,166251,9148,154923,9.507870419156461e-05
overlap,9900,67548,9226,62913,0.020754233968045308
overlap,9953,402041,9279,375061,0.0051342277532869934
overlap,9969,389723,9293,363527,0.0013217696022433886
overlap,9975,18661,9299,535126,0.008707606300303594
overlap,9996,416146,9318,388293,0.00935965594957989
overlap,9996,391866,9318,365523,0.006480916619925178
overlap,10005,58020,9326,54028,0.0012140010295829343
overlap,10084,71604,9399,66667,0.018101358202511218
overlap,10130,395270,9439,368696,0.00037374253441161965
overlap,10195,206507,9501,192386,0.00031858682345345824
overlap,10195,237034,9501,220836,0.0012941735240019625
overlap,10206,462780,9509,431773,3.936919774755418e-05
overlap,10206,196466,9509,183069,1.2454498720199483e-05
overlap,10217,269708,9519,251239,9.540346259317639e-05
overlap,10217,200258,9519,186590,0.00013828299258800136
overlap,10482,326870,9760,304640,0.0010085135367501683
overlap,10573,92070,9841,85718,0.000570814998972935
overlap,10573,581882,9841,507793,0.00021868980413840863
overlap,10628,581918,9894,507798,0.0016214002201975267
overlap,10693,495030,9956,461722,0.00029767191367989184
overlap,10772,279154,10030,260050,0.020620646900841328
overlap,10794,392368,10049,365982,0.01850641490970498
overlap,10803,260690,10057,242845,0.0019874372905874793
overlap,10803,114284,10057,106415,0.006538523562521825
overlap,10839,380005,10089,354404,0.0010826804802688272
overlap,10983,122430,10224,114029,0.0006146895303615362
overlap,11031,373609,10269,348361,0.0011719768064129
overlap,11031,402078,10269,375097,0.0005565856821988729
overlap,11031,322160,10269,300232,0.0005937138182196956
overlap,11031,412623,10269,384973,2.4729492542487725e-06
overlap,11036,26019,10274,24271,0.0010639514392868834
overlap,11040,91000,10278,84731,0.0023694689420435196
overlap,11043,291315,10281,271450,0.0020958463105645968
overlap,11044,409538,10282,382105,0.0073970733425019475
overlap,11044,387873,10282,361790,0.007445792145963109
overlap,11044,195324,10282,181997,0.0022510802403718114
overlap,11117,538551,10350,501840,3.103989537283627e-05
overlap,11151,1473330,10382,545168,0.027086471598445006
overlap,11210,161417,10435,150442,6.790399863354502e-05
overlap,11220,606488,10445,508398,0.011723031057725278
overlap,11258,337593,10479,314652,0.00018108947406114434
overlap,11273,482788,10491,450348,0.010172347491078476
overlap,11275,35227,10493,32849,0.017057686551977216
overlap,11275,158299,10493,147529,2.580201331096711e-05
overlap,11279,483478,10497,450979,0.000740195204031571
overlap,11279,277420,10497,258424,4.295785875879285e-05
overlap,11287,110421,10505,102803,0.0010774461942351285
overlap,11337,38983,10550,36351,0.0001753854695597135
overlap,11430,147515,10636,536262,0.02612618588793767
overlap,11430,117189,10636,109140,0.0020637186377530426
overlap,11513,333708,10712,311044,0.00030842758150515296
